,datetime,text
228,2022-09-11 13:29:15+00:00,"Вам лень читать читать статью, а мне лень приводить ссылки. Ссылки там есть."
25,2023-03-27 19:25:53+00:00,Вы же ещё говорите что мы быдло и докапываемся до людей
95,2023-04-10 18:43:44+00:00,"Тут это всем уже кажется
Это изначально все пересрались"
159,2023-04-11 11:07:57+00:00,"твою мамашу я внатуре своим членом сжал своей уретрой, кой давление является более, чем у сто тонного пресса"
118,2023-04-10 19:33:27+00:00,"Да камон
Челы это тупо рассказывать о нападении особенно о таком"
252,2022-05-25 16:29:54+00:00,Но ты свои данные реально зассал скинуть хотя поначалу кичился
193,2023-03-07 16:01:58+00:00,клятые нацисты не дают жить в многонациональной расее
98,2023-04-10 18:56:57+00:00,"не кому не кажется что это просто развод?? неужели бы стали писать такое и выкладывать, его бы давно поймали"
242,2022-05-25 08:28:05+00:00,Семью только пидоры оскорблять могут.. поэтому с пидором говорить это фу
233,2023-02-21 13:27:55+00:00,"То есть, вы снимаете ответственность за свою  жизнь с самого человека?
Иначе говоря, внушаете ему безволие и слабость"
81,2023-04-11 09:10:54+00:00,"Бля да пиздёжь это всё нахуй, какой то малолетка сидит, пишет всякую поебень а вы верите"
33,2023-02-13 12:51:10+00:00,"Ахахаххахаах, на столько убогие отмазки, ну не признаёшь ты своих родителей , шлюху и какого-то африканца, ну не метай ты стрелки"
9,2022-10-20 11:07:45+00:00,"но тот чел кого бьют врядли продавал наркотики, и писал маленьким девочкам... за что ему это?"
207,2023-03-18 14:16:59+00:00,Я с тобой по норм общаюсь а ты ведëшь себя как мразота конченая
152,2023-04-11 15:02:53+00:00,"тебя тут каждый в рот ебал, пойми и прими данное сын шалавы"
43,2023-04-11 09:39:42+00:00,"Это все не правда, но это может спровоцировать срыв уроков"
18,2023-02-07 13:57:09+00:00,Человек просил голову ребенка ради каких то эксперементов
212,2023-03-15 17:34:00+00:00,"Тогда скажи, свое мнение то есть ты считаешь что ебать детей норма?

Да ? Ну раз ты против того что делал тесак? Что-то там про людей говоришь что он там кого-то унижал. Можно узнать каких людей вот я тебе задал конкретный вопрос.? я промолчу что он их по факту на месте преступления ловил…"
111,2023-04-10 18:34:45+00:00,го честно кто обасрался когда 1 раз об этом узнал я да сильно
224,2022-09-13 10:42:13+00:00,"Он говорит было бы тяжело. Чел. Ты должен будешь морально убить себя, чтобы пойти на такое. Это дичь убьёт и тебя, и ребёнка."
144,2023-04-11 11:10:01+00:00,пиздец да ты че нулёвка ебаная в себя поверила или че
223,2022-09-02 10:16:24+00:00,У вас там в чате не спектакль разве  надеваете лицемерные маски  и лжете друг другу.😀
16,2021-06-13 09:21:57+00:00,"Да ну,хули толпой на одного,хотя бы толпа на толпу,или раз на раз"
57,2023-04-11 07:01:04+00:00,"Создатель этого канала :пидор пидорас, пи пи пидор пидор пидор"
241,2022-05-25 08:29:11+00:00,"Это ты падла сказал, а то что ты ссыкло, стало по делам понятно"
114,2023-04-10 21:15:09+00:00,"Бля заебал хуйню нести, ты же блять 12 летний клоун. И джихад твой блять выдумка, и то если он существует то продаёт фрукты в каком-то чуркастане"
53,2023-04-11 07:40:08+00:00,ахахах тут какие-то пятиклашки обсуждают эту ситуацию
135,2023-04-05 04:29:52+00:00,благодаря вам мы вами. управляем и знаем наперел как себя поведет нато
79,2023-04-11 07:44:49+00:00,У меня высшая степень недовольства молодой человек.
160,2023-04-10 21:02:54+00:00,"Да жиды тут не причём по моему мнению, вроде бы. Это наши власти всё это делают"
195,2023-03-16 09:22:26+00:00,Ну это в 5 раз больше чем у твоих родителей омëб ебаных
84,2023-04-11 08:50:47+00:00,аааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАааааааааааааааааааааааааАаааааааааааааааааааааааа
6,2022-12-30 07:49:41+00:00,"Бля вы как дети, аргументов нет никаких, а только ""уйди атсюда таун"", у вас IQ меньше 50, ваша идеология противоречит вам самим тк вы унтерменши, живите дальше обиженки в ненависти, вас большинство либо в школе обижали, либо как то обидела какая то национальность, а направить энергию в нужное русло, а не нацизм, мозгов не хватит ебучие маргиналы"
132,2023-04-05 02:18:43+00:00,"Настолько восхволяет совок, что все концовки - антисоветские. Охуенно."
69,2023-04-11 07:56:52+00:00,КТО СО МНОЙ В КОСЫНКУ ОНЛАЙН И ПОХУЙ ЧТО ТАКОЙ НЕ СУЩЕСТВУЕТ?
42,2023-04-11 09:38:13+00:00,"Я тебя сука найду и отъебашу, нахуй ты это пишешь блять"
80,2023-04-11 09:10:18+00:00,"Ты че, ослина мокрая,из ведра говоришь? Хуй тебе в рот, с тельчью ногу"
239,2022-06-30 20:19:34+00:00,Знать все люди кто тебе не друг твои враги .. сколько у теб друзей? 10? 20? Знать все остальные враги?
54,2023-04-11 07:37:47+00:00,"чел ты хоть напиши что-то, нам интересно почему опаздываешь"
184,2023-03-27 08:45:27+00:00,Может у него было мнение про ебланов которые 15летних девочек ножиком тыкали?
206,2023-03-17 14:23:25+00:00,"пророк мухамед распизженный обросший потный петух рогоносец , наебаный переёбаный всеми отбросами подсосами аллаха пидораса, пока этот мудак был на утреннем намазе его малолетней жене аише продрали все очки и изпидорасили к хуям ее ебучую исламскую пизду"
192,2023-03-09 10:53:40+00:00,"Но оно и понятно  а хули они скажут ещё) типа «мы его убили,»Вообще удивлён , что это дело до сих пор не засекретели )"
172,2023-03-02 12:08:30+00:00,Дружок его сегодня в Брянске отличился. Пидорас  Денис Капустин
31,2023-02-12 10:36:57+00:00,Не на что не годное уёбище говорит о своём мнение которое не кто не берёт в счёт
15,2023-03-23 13:30:20+00:00,Ничего против не имею но почему из за этого избивают
133,2023-04-04 20:11:49+00:00,"Нахуй вы этот срач развели,эта война грамотно продуманный жидовский план по уничтожению славян"
134,2023-04-05 04:24:59+00:00,Ну а при чем тут этот срач?Ко мне чел доебался иза флага в нике
170,2023-02-21 18:10:26+00:00,"Ебать ты умный, не лень было всё это узнавать так ещё и запоминать"
67,2023-04-11 08:09:24+00:00,"Моя девушка сказала, что я полное г*вно и что, если бы не жалость, то она б ушла давно,
Я разбит и я расстроен и, конечно же, я дам ей по печени ногою за такие вот слова.

Я бью женщин и детей, потому что я красавчик, потому что я сильней, и они не могут сдачи дать мне.
Женщин и детей бить неправильно, я знаю, но бью женщин и детей, и я самоутверждаюсь, о-о-о.

Я работаю учителем и я учу ребят: знаменатель, и числитель, и делить, и умножать,
Ты не выучил уроки, так не суй мне свой дневник, по **алу толстой книжкой получает ученик.

Я бью женщин и детей, потому что я красавчик, потому что я сильней, и они не могут сдачи дать мне.
Женщин и детей бить неправильно, я знаю, но бью женщин и детей, и я самоутверждаюсь, о-о-о.

А сегодня в ночном клубе огромадный костолом обозвал меня прилюдно и под зад мне дал пинком,
Ничего не выйдет, парень, ведь я не приемлю кровь, и я быстро убегаю - я за мир и за любовь.

Я бью женщин и детей, потому что я красавчик, потому что я сильней, и они не могут сдачи дать мне.
Женщин и детей бить неправильно, я знаю, но бью женщин и детей, и я самоутверждаюсь, о-о-о."
245,2022-05-25 08:30:01+00:00,"Ты сам сказал, что твоя семья в аду и такие же кафиры богохульники"
113,2023-04-10 18:35:54+00:00,Он просто байтит на потписочников а потом продаст ак
88,2023-04-10 18:06:38+00:00,у него джамалов рахметов т раджмачиков я в истерике
236,2022-05-28 08:33:21+00:00,Значит у тебя с глазами проблема. Потому что он идеально ровный.
125,2023-04-11 06:35:31+00:00,У нас охранник бабка 50 лет она в соло хача задефает
146,2023-04-11 11:12:13+00:00,Ну вижу что стоит и тебя на Аве и понимаю что ты сын горного осла еба
173,2023-03-02 07:25:52+00:00,"Ты объелся вишневых косточек?
Или почему ты такой раскидистый олень? Кто блять ловит педофила на 15-летнию лошадь и при этом сам склоняет к сексу с несовершеннолетней? Да и в целом с каких пор 4 года это большая разница в возрасте? Удали нахуй эти скрины и не позорься блять"
149,2023-04-11 11:48:33+00:00,ты закрой ебало и приступай отсасывать мне сын шлюхи
205,2023-03-17 14:27:27+00:00,"макаки в край ахуели, то азеры нац группировку создают, то чечики планируют что то сделать 🦍🦍🦍, но если первых возможно как то выпиздить, то вторые за счет кадырова 0 наказания несут"
39,2023-04-11 09:36:54+00:00,ЛЮДИ ПОЩАДИТЕ НАС ИНАЧЕ МЫ ЗАБОЛЕЕМ БРАНХИТОМ И ОБОСРЕМСЯ ПОНОСОМ
199,2023-03-18 12:10:34+00:00,Когда? Я не кому ГС не записывал чел ты меня с кем-то путаешь
143,2023-04-11 11:09:22+00:00,Ну ты сын дохлой собаки какого хуя ты забыл в этом чате? В этом чате все против таких хуеглотов как ты
112,2023-04-10 18:34:22+00:00,"Все не пишите сюда м отпишитесь, что бы не пугал и не славился"
92,2023-04-10 18:09:55+00:00,"челику нехуй делать, решил посватать школы, вы же как ебанные лохи ведетесь)"
164,2023-04-05 07:44:25+00:00,"Во первых - ты пиздабол малолетний, кого наебать пытаешься, ценитель роблокса и твича?) А во вторых, ты пиздец тупой, малой... ты даже абу бандитов и селюков по разуму не догоняешь, хули тут говорить, ты от них ОТСТАЕШЬ блять. 🤣

""поставил его потому что рофл"", загрузил овер-дохуя фоток Макса себе на аву, пытаясь выделиться среди ровесников-школьников из-за тренда в тик-токе, но обосрался и это выглядит смешно и наигранно максимально, ценитель 2019 года хуев. 😂

Ничего страшного, малой, перерастешь ещё свою юношескую хуйню, но лучше молчи и не позорь себя своим детским разумом."
89,2023-04-10 18:09:28+00:00,"Тут, мне кажется, больше половины на полном серьёзе"
87,2023-04-10 18:06:53+00:00,Так вы че он просто завтра эти школы эвакуирует и всё
186,2023-03-27 12:18:28+00:00,Соболезную всем кто думает что 15-18 лет это уже взрослый человек
130,2023-04-11 05:56:51+00:00,Ты даун. Сдохни в канаве мразь. ТЕБЯ УЖЕ НИКТО НЕ БОИТСЯ. Да кому ты нужен обиженный–ребёнок) хпхпхпхпх
1,2022-02-07 18:58:03+00:00,"А ты у нас герой антифа движения? Или хочешь стать мучеником, как твой любимый Тимур Хачарава?)"
188,2023-03-27 18:18:38+00:00,что делают админы этого канала для освобождения своей страны из рабства?
129,2023-04-11 06:23:59+00:00,"к такому бы вкусных купить и смотреть как человек страдает хренью, эхм"
48,2023-04-11 09:52:56+00:00,"девочка вэнсэй грустный эмоджи
ты мне нравишься тем что ни на кого не похожа"
155,2023-04-11 14:59:40+00:00,мы тебя ебаного сынка шлюхи тут до белого коления доведем
27,2023-02-13 12:32:50+00:00,"Сука у тебя на всё одни говоры, открой словарь может что-то новое узнаешь
Что  ц сын Барбоса"
106,2023-04-10 19:27:06+00:00,"Все на это уже забили, Даун какой-то за экраном сидит"
47,2023-04-11 09:45:00+00:00,"У кого то уроки это сорвало, а у нас конечно же ничего не было👍

Учитель говорил, но нет ничего важнее геометрии. 

Суровые совочные школы"
250,2022-05-27 09:29:11+00:00,"Ты ничего не можешь доказать, ты обижен, вот и бесишься, ты по жизни никто, а тут тебе навязали что ты помощник бога, твоя голова не твои мысли ты то чем пользуются"
21,2023-03-27 19:53:14+00:00,"Напряг на столько, что пишешь сюда с намерением противопоставление нашим диалогам и намерениям, зачем, если ты против нашего движения"
61,2023-04-11 10:44:53+00:00,"Вот вам страшно, а я с 3 этажа планировала спрыгнуть"
246,2022-05-25 08:14:32+00:00,"Город не назвал значит черт, А никакой ты не мусульманин, ссыкло ты, ещё собрался неверных порешать, кишка тонка"
237,2022-10-24 19:51:10+00:00,"И притом как бы ты не брыкалась и не орала.свидетили Иеговы не имеют права тебя ненавидеть или переубеждать.к тому чему учат эти люди им дала одна книга и это библия .а завставлять тебя не будут ,или сама дойдеш или сама не дойдеш"
122,2023-04-10 12:57:55+00:00,Слушайте а почему он сам сюда не пишет ничего испугался плачет наверное бедненький
60,2023-04-11 11:08:57+00:00,"От чего эвакуироваться.
Он им под дверь насрет или что"
86,2023-04-11 08:48:15+00:00,"Эта залупа уже с самого утра переносит всю эту хуйню, сначала 57 минут, когда эти минуты прошли всё таки 10 минут осталось и так переносит, переносит"
226,2022-09-13 09:54:27+00:00,"А где ваше культура и этика так выражаться,это не по христиански.🙄"
36,2023-02-16 17:15:54+00:00,Он не умеет вступать в группу и по этому отвечает на видео
238,2022-10-06 14:33:32+00:00,Вы не путайте грубую отрыжку иудаизма ОСБ и Христиан?
93,2023-04-10 17:54:16+00:00,Слышь ты же сегодня обещал или родители погулять не отпустили
200,2023-03-18 09:06:17+00:00,"имеешь ты отношение макака ебаная, не ты ли случайно мне гс записывал что мой мама в рот ибал и что найду тебя гандон руский?"
20,2023-03-27 19:53:59+00:00,как ты это связываешь с похуистическим отношением к тебе?
217,2023-04-01 19:43:07+00:00,Если бы он прямо сказал что он нацист то его бы забили ногами уже давно
221,2022-09-01 18:30:40+00:00,"Зачем тогда лишать общения людей, которые хотят выйти из этой секты? У вас есть право верить в него и в его учения, а в других людей нет права перестать в это верить, без потери своей семьи?"
225,2022-09-13 09:08:32+00:00,"А у вас есть дети? Вы перестанете общаться со своим ребёнком, если он решит выйти из этой религии или если его исключат?"
157,2023-04-11 11:04:40+00:00,испытал пездак твоей мамаши на прочность своим хуем хыхы
120,2023-04-10 11:23:01+00:00,"Бля вы конченые? Пиздец вы клоуны.. Ребят не верьте, скорее всего это пиздешь"
154,2023-04-11 15:00:03+00:00,хуепутало месячное ты и полгода тут не продержишься мудила рогатая
203,2023-03-17 20:29:41+00:00,"О, когда поступил на первый курс и всех с кем не согласен можедь называть шкодьниками"
182,2023-03-27 09:36:59+00:00,"Не думаю что норма в 24 года мутить с 15 летней пиздой,и тут совсем другая ситуация ну и ладно Макс все равно это не прокомментирует уже"
107,2023-04-10 18:50:36+00:00,Из жопы мангуста со времен нахуй ледн кового периода и упал в воду замерз и сейчас вышел из воды с 190 хромосомой
94,2023-04-10 17:55:20+00:00,чо за тупой школьник это сделал? а ведь кто то в это верит...
97,2023-04-10 18:55:16+00:00,"да нихуя не надо блять, просто Эля нахуй, хорош всякую дичь придумывать"
58,2023-04-11 10:25:58+00:00,Он мои сообщения уделяет потому что я его по фактам разношу
44,2023-04-11 09:40:26+00:00,"Этот чел рекламу в чат кидает, он пиздобол, это чат просто с рекламой"
185, 2023-03-27 10:38:34+00:00,"Хули перековеркиваешь, он не говорит, что не против выебать. Он высказал мнение о том, что если девушка созрела, у нее выросли сиськи, на пизде начали расти волосы - можно ебать. Он не говорил, что хочет или не против"
11,2023-03-18 10:14:41+00:00,"Всем привет кто может рассказать почему скинхеды топят за нац Германию и не любят СССР ведь наши деды воевали за нас против Германии,Германия же хотела убить всех славян в чем прикол?"
99,2023-04-10 18:58:05+00:00,Об этом мне кажется все знают и как видишь люди просто общаются
171,2023-02-23 09:01:21+00:00,"Это ты не догоняешь что все видосы он делал просто чтоб попиариться и бабла срубить. Ловил педофилов? При этом говорил что норм ебать 15летних девочек. Заебись двойные стандарты. Так же, продвигая свою идею, ничего не придумал умнее чем пиздиьь и убивать чурок по одному. Мозг"
5,2022-01-02 21:20:54+00:00,"Ебать, негр, пиздец как удивительно увидеть негра, их же так мало на нашей планете"
128,2023-04-11 06:49:57+00:00,"Слушай, ты человечек, кому угрожаешь, н**** в башке, наверное, не уложилась, да?"
22,2023-03-27 19:51:57+00:00,"напряг на столько, что мне похуй на тебя? ты ебать чем думаешь?"
10,2023-03-18 10:17:04+00:00,"В силу твоего возраста тебе это нахуй не надо, почитай литературу, поймешь"
150,2023-04-11 11:48:37+00:00,сын хуйни ебаной получай пизды по роже мусор ебаный
229,2022-09-12 10:15:51+00:00,"Насколько же нужно извиваться как уж на сковородке, чтобы не признать того, что ""истина"" Свидетелей Иеговы - это просто ложь. Выдумка людей, чтобы контролировать других людей. Всё как в любой религии. Нужно запретить что-то нормальное, заставить людей отказаться от некоторых нормальных вещей в жизни, чтобы вызвать у них ощущение, будто бы они идут на большие жертвы ради некой ""истины"". Тогда как эти жертвы абсолютно не требуются. Это просто элемент программирования людей и манипуляции."
12,2022-07-30 15:03:51+00:00,"Придурок, а не лучше за три дня, чем пять месяцев в подвале 🤔"
168,2023-02-21 18:15:32+00:00,"Что здесь такого глобального, что оно должно плохо запоминаться, так ещё и вызывать трудности в изучении? Мне казалось, что ещё давно вывели банальное качество белого человека — творческий потенциал (или производственность), а значит и тяга к пробиванию толщи дезинформации."
29,2023-02-13 04:30:23+00:00,"Понятно, очередной школьник, ты ещё маленький чтоб такое говорить, смотри, чтоб тебя мама за это не наругала 😁"
63,2023-04-11 10:42:29+00:00,Удалил фотку потому что его спалили что это фото из иннета
41,2023-04-11 09:37:34+00:00,Чудила которое умеет только угрожать и всё ты никто в этой жизни тебя макали башкой в унитаз Когда ещё ты был двенадцатилетним школьником тебя все обзывали поэтому ты сейчас пытаешься на всех школьниках отыграться
